ResponseID,TrainingName,TrainingType,LearningCategory,SessionDate,AttendeeType,BusinessUnit,Role,Rating,FeedbackText,Theme,Sentiment,SuggestedAction,FollowUpRecommendation
R001,AI for All,Virtual,Digital Upskilling,6/12/2026,Employee,Customer Service,Manager,3,Module 2 moved too fast and I needed more time to practice.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R002,Leading Through Change,Hybrid,Leadership,5/8/2026,Contractor,IT,Analyst,4,"The session was useful, but the middle section felt rushed.",Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R003,Power BI Basics,Virtual,Analytics,5/15/2026,Employee,Customer Service,Intern,5,Please recommend what course to take next.,Follow-up Resources,Mixed,Send automated resource pack and next-course recommendations.,Send curated resource pack.
R004,Leading Through Change,Hybrid,Leadership,5/20/2026,Employee,Legal,HR Partner,1,The calendar invite did not update cleanly after the time changed.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R005,Power BI Basics,Virtual,Analytics,5/8/2026,Employee,Nuclear,Intern,2,The cancellation notice did not make it obvious that the class moved.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R006,Safety Leadership Workshop,Live,Safety,5/27/2026,Employee,Renewables,Engineer,5,The instructor was engaging and explained the topic clearly.,Instructor Quality,Positive,Reuse facilitator approach and capture best-practice clips.,Ask attendee to share course with peers.
R007,Leading Through Change,Hybrid,Leadership,5/6/2026,Employee,Customer Service,Engineer,3,The calendar invite did not update cleanly after the time changed.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R008,Safety Leadership Workshop,Live,Safety,5/29/2026,Employee,Legal,Project Manager,3,The instructor covered a lot quickly; a short pause after each demo would help.,Pacing,Mixed,Add checkpoints and split Module 2 into shorter segments.,Offer a 5-minute recap and optional practice lab.
R009,Power BI Basics,Virtual,Analytics,6/5/2026,Employee,Finance,Engineer,3,I wanted more guided practice and fewer slides.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
R010,Leading Through Change,Hybrid,Leadership,5/20/2026,Employee,Renewables,Intern,3,I wanted more coverage of how this applies after the session.,Content Gaps,Mixed,Add NextEra-specific case studies and optional advanced module.,Send deeper-dive material and collect additional questions.
R011,Safety Leadership Workshop,Live,Safety,5/27/2026,Employee,IT,HR Partner,1,The cancellation notice did not make it obvious that the class moved.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R012,AI for All,Virtual,Digital Upskilling,5/27/2026,Employee,Customer Service,Supervisor,4,I would like a version tailored to field and plant employees.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R013,Power BI Basics,Virtual,Analytics,6/5/2026,Employee,Finance,Intern,2,I had trouble accessing the file shared during the session.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R014,Safety Leadership Workshop,Live,Safety,6/17/2026,Intern,Renewables,Engineer,3,I liked the concepts but wanted more examples for my business unit.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R015,AI for All,Virtual,Digital Upskilling,5/27/2026,Contractor,Nuclear,Intern,3,I would like a version tailored to field and plant employees.,Role Relevance,Mixed,"Create role-specific examples for office, field, and plant employees.",Recommend a role-specific learning path.
R016,Leading Through Change,Hybrid,Leadership,6/17/2026,Employee,Nuclear,Project Manager,3,The lab environment was slow and made the exercise hard to follow.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R017,AI for All,Virtual,Digital Upskilling,6/12/2026,Employee,Renewables,Analyst,2,The lab environment was slow and made the exercise hard to follow.,Technical Issues,Negative,Send tested links and calendar updates 24 hours before session.,Send corrected link and support instructions.
R018,Leading Through Change,Hybrid,Leadership,6/19/2026,Intern,Nuclear,Project Manager,2,I signed up but did not receive clear reminder instructions.,Registration Experience,Negative,"Automate reminders, updates, and attendance confirmation.",Confirm attendance and provide reschedule option.
R019,Power BI Basics,Virtual,Analytics,5/29/2026,Intern,IT,HR Partner,3,The hands-on portion was valuable but hard to follow without step-by-step instructions.,Hands-on Exercises,Mixed,Add step-by-step lab guide and completed example file.,Send lab guide and office-hours invite.
